,accelx,accely,accelz, steps
0,0.77,0.17,0.9, 40
1,0.77,0.3,0.73
2,0.84,0.39,0.65
3,0.65,0.61,0.41
4,0.38,1.02,0.17
5,0.15,1.42,0.03
6,-0.33,1.62,0.0
7,-0.49,1.48,0.08
8,-0.08,1.32,0.39
9,-0.26,1.03,0.4
10,-0.74,0.9,0.15
11,-0.62,0.99,0.19
12,-0.17,1.16,0.15
13,0.23,1.29,0.17
14,0.35,1.31,0.31
15,0.37,1.1,0.29
16,0.24,0.91,0.21
17,0.21,0.7,0.1
18,-0.08,0.51,-0.03
19,0.25,0.83,0.22
20,0.41,0.74,0.36
21,0.35,0.87,0.43
22,0.15,1.14,0.62
23,0.42,1.26,0.55
24,0.47,1.21,0.25
25,0.22,1.17,0.19
26,-0.29,0.89,0.07
27,-0.42,0.49,-0.01
28,-0.26,0.43,0.16
29,-0.26,0.74,0.33
30,-0.32,1.17,0.38
31,-0.41,1.64,0.27
32,0.12,1.88,0.21
33,0.58,2.0,0.36
34,0.48,1.16,0.31
35,0.19,0.62,0.13
36,0.09,0.48,0.06
37,0.16,0.46,0.1
38,0.37,0.43,0.24
39,0.43,0.45,0.27
40,0.28,0.54,0.21
41,0.04,0.86,0.21
42,-0.27,1.3,0.55
43,0.15,1.42,0.49
44,0.84,1.07,0.6
45,0.43,0.93,0.38
46,-0.32,0.81,0.18
47,-0.29,0.58,0.31
48,-0.21,0.63,0.42
49,-0.06,0.89,0.47
50,-0.47,1.21,0.33
51,-0.23,1.39,0.3
52,0.0,1.57,0.29
53,0.28,1.28,0.26
54,0.35,0.9,0.25
55,0.27,0.78,0.18
56,0.31,0.56,0.15
57,0.35,0.45,0.16
58,0.33,0.49,0.19
59,0.26,0.75,0.2
60,0.03,1.2,0.42
61,-0.18,1.42,0.56
62,0.68,1.19,0.42
63,0.56,0.98,0.43
64,-0.06,0.83,0.19
65,-0.31,0.61,0.2
66,-0.13,0.53,0.34
67,-0.25,0.88,0.47
68,-0.31,1.17,0.31
69,-0.22,1.28,0.29
70,-0.22,1.49,0.15
71,0.08,1.43,0.22
72,0.24,1.09,0.25
73,0.29,0.82,0.15
74,0.27,0.7,0.13
75,0.3,0.64,0.17
76,0.34,0.66,0.17
77,0.42,0.65,0.17
78,0.2,0.73,0.06
79,-0.08,0.91,0.34
80,-0.16,0.98,0.57
81,0.25,1.24,0.48
82,0.76,1.07,0.49
83,0.54,1.02,0.53
84,-0.15,0.84,0.22
85,-0.38,0.66,0.23
86,-0.16,0.63,0.42
87,-0.12,0.85,0.51
88,-0.16,1.07,0.43
89,-0.24,1.42,0.36
90,0.03,1.41,0.21
91,-0.11,1.33,-0.01
92,0.26,1.06,0.16
93,0.21,0.75,0.09
94,0.2,0.63,0.11
95,0.06,0.65,0.01
96,0.28,0.66,0.15
97,0.31,0.76,0.21
98,0.14,0.74,0.14
99,-0.0,1.0,0.25
100,0.06,0.84,0.54
101,0.22,1.0,0.71
102,0.34,1.08,0.46
103,0.59,0.82,0.53
104,0.19,0.73,0.5
105,-0.1,0.7,0.41
106,-0.04,0.88,0.53
107,-0.02,0.95,0.5
108,-0.2,1.04,0.41
109,-0.21,1.36,0.4
110,-0.04,1.22,0.28
111,-0.06,1.2,0.13
112,0.08,1.0,0.13
113,0.27,0.82,0.13
114,0.22,0.76,0.05
115,0.13,0.72,-0.01
116,0.19,0.72,0.07
117,0.2,0.68,0.18
118,0.09,0.83,0.27
119,0.04,0.97,0.35
120,0.24,0.92,0.66
121,0.59,0.99,0.9
122,0.52,0.85,0.22
123,0.37,0.8,0.4
124,0.07,0.86,0.45
125,-0.04,0.8,0.3
126,-0.14,0.69,0.27
127,-0.1,0.76,0.34
128,-0.17,0.93,0.45
129,-0.24,1.13,0.5
130,-0.4,1.23,0.39
131,-0.18,1.19,0.13
132,0.03,1.29,-0.04
133,0.4,1.02,0.26
134,0.22,0.78,0.17
135,0.13,0.75,0.09
136,0.2,0.84,0.08
137,0.25,0.8,0.12
138,0.21,0.79,0.11
139,0.06,0.84,0.2
140,-0.05,0.84,0.44
141,0.11,0.99,0.58
142,0.5,1.03,0.41
143,0.59,0.82,0.62
144,0.25,0.69,0.37
145,0.02,0.72,0.18
146,-0.15,0.76,0.29
147,-0.22,0.96,0.47
148,-0.2,1.16,0.54
149,-0.17,1.29,0.43
150,-0.22,1.23,0.26
151,-0.13,1.11,0.08
152,-0.01,1.11,0.03
153,0.23,0.96,0.07
154,0.14,0.9,-0.05
155,0.11,0.85,-0.06
156,0.18,0.88,-0.04
157,0.22,0.85,0.07
158,0.24,0.78,0.21
159,-0.1,0.83,0.17
160,-0.01,0.85,0.64
161,0.47,0.78,0.65
162,0.3,0.88,0.27
163,0.38,0.69,0.33
164,0.16,0.75,0.5
165,0.1,0.66,0.38
166,0.07,0.68,0.4
167,-0.02,0.96,0.59
168,-0.05,1.18,0.58
169,-0.15,1.25,0.6
170,-0.25,1.19,0.48
171,-0.21,0.91,0.2
172,-0.09,0.89,0.09
173,0.19,0.82,0.2
174,0.12,0.9,0.08
175,0.15,0.91,0.06
176,0.08,0.92,-0.0
177,0.09,0.88,0.05
178,0.09,0.9,0.15
179,0.03,0.8,0.22
180,0.11,0.82,0.42
181,0.36,0.58,0.64
182,0.34,0.88,0.6
183,0.46,0.85,0.25
184,0.42,0.74,0.4
185,0.21,0.82,0.53
186,0.12,0.7,0.36
187,0.07,0.68,0.5
188,0.09,0.84,0.78
189,-0.19,1.01,0.56
190,-0.47,1.16,0.52
191,-0.47,1.2,0.36
192,-0.16,1.1,0.13
193,0.06,1.01,0.09
194,0.13,0.78,0.02
195,-0.12,0.73,-0.11
196,0.11,0.97,-0.05
197,0.13,0.83,0.11
198,0.09,0.71,0.14
199,0.01,0.76,0.21
200,0.11,0.7,0.33
201,0.1,0.86,0.59
202,0.06,0.81,0.57
203,0.38,0.99,0.4
204,0.38,0.89,0.33
205,0.35,0.8,0.5
206,0.06,0.73,0.33
207,0.08,0.65,0.32
208,-0.05,0.73,0.42
209,-0.18,1.1,0.49
210,-0.23,1.23,0.53
211,-0.14,1.17,0.5
212,-0.13,0.98,0.26
213,0.02,0.98,0.22
214,0.07,0.95,0.27
215,0.14,0.85,0.26
216,0.06,0.81,0.1
217,0.14,0.78,0.17
218,0.2,0.67,0.2
219,0.14,0.66,0.25
220,0.16,0.74,0.32
221,0.11,0.89,0.45
