,accelx,accely,accelz,mag, steps, total_t
6.4,0.4,-1.08,0.17,1.164173527,,
6.45,0.28,-1.19,0.16,1.232923355,,
6.5,0.3,-1.28,0.27,1.34212518,,
6.55,0.16,-1.45,0.22,1.47529658,,
6.6,0.14,-1.34,0.04,1.347887236,,
6.65,0.35,-1.36,-0.07,1.40605832,,
6.7,0.56,-1.43,-0.49,1.61201737,,
6.75,0.78,-1.15,-0.52,1.483677863,,
6.8,0.79,-1,-0.23,1.294990347,,
6.85,0.68,-0.77,-0.17,1.04124925,,
6.9,0.68,-0.73,-0.02,0.997847684,,
6.95,0.64,-0.73,0.11,0.977036335,,
7,0.82,-0.78,0.27,1.163486141,,
7.05,1.08,-0.67,0.54,1.3809055,,
7.1,1.3,-0.81,0.78,1.718865905,,
7.15,1.08,-1.1,0.68,1.684873883,,
7.2,0.81,-1.18,0.54,1.52973854,,
7.25,0.79,-1.32,0.39,1.587009767,,
7.3,0.74,-1.19,0.27,1.427094951,,
7.35,0.56,-1.39,0.04,1.49909973,,
7.4,0.5,-1.48,0.06,1.56332978,,
7.45,0.21,-1.08,0,1.100227249,,
7.5,0.4,-0.71,0.22,0.844097151,,
7.55,0.52,-0.65,0.39,0.919238816,,
7.6,0.25,-0.6,0.19,0.677200118,,
7.65,0.07,-0.54,0.16,0.567538545,,
7.7,0.4,-1.24,0.22,1.321362933,,
7.75,0.63,-1.26,0.43,1.472888319,,
7.8,0.77,-1.27,0.62,1.60940983,,
7.85,0.4,-1.04,0.14,1.123031611,,
7.9,0.24,-1.03,0.1,1.062308806,,
7.95,0.7,-1.09,0.1,1.299269025,,
8,0.82,-0.94,0.12,1.253156016,,
8.05,0.91,-0.7,0.19,1.163700993,,
8.1,0.9,-0.68,0.26,1.15758369,,
8.15,0.79,-0.73,0.23,1.099954545,,
8.2,1,-0.95,0.47,1.457189075,,
8.25,0.94,-1.12,0.48,1.538960688,,
8.3,0.66,-1.03,0.34,1.269685,,
8.35,0.73,-1.33,0.39,1.566492898,,
8.4,0.6,-1.06,0.23,1.239556372,,
8.45,0.59,-1.11,0.26,1.283666623,,
