,accelx,accely,accelz,mag, steps, time
27.9,0.52,-0.84,0.32,1.038460399,,
27.95,0.49,-0.85,0.31,1.028931485,,
28,0.47,-0.86,0.32,1.030970417,,
28.05,0.49,-0.86,0.32,1.040240357,,
28.1,0.5,-0.84,0.32,1.02859127,,
28.15,0.48,-0.85,0.3,1.021224755,,
28.2,0.49,-0.84,0.32,1.023767552,,
28.25,0.5,-0.84,0.31,1.025524256,,
28.3,0.5,-0.85,0.33,1.039903842,,
28.35,0.51,-0.84,0.33,1.036629153,,
28.4,0.5,-0.85,0.32,1.036773842,,
28.45,0.49,-0.84,0.32,1.023767552,,
28.5,0.51,-0.85,0.33,1.044748774,,
28.55,0.51,-0.86,0.34,1.056077649,,
28.6,0.48,-0.87,0.35,1.053470455,,
28.65,0.47,-0.86,0.32,1.030970417,,
28.7,0.43,-0.86,0.29,1.004290795,,
28.75,0.46,-0.84,0.28,0.997797575,,
28.8,0.47,-0.84,0.28,1.002447006,,
28.85,0.46,-0.83,0.3,0.995238665,,
28.9,0.48,-0.83,0.32,1.010791769,,
28.95,0.48,-0.84,0.35,1.028834292,,
29,0.62,-0.84,0.42,1.125344392,,
29.05,0.68,-0.82,0.48,1.168417734,,
29.1,0.48,-0.88,0.33,1.055319857,,
29.15,0.42,-0.97,0.31,1.10154437,,
29.2,0.39,-0.96,0.31,1.081572929,,
29.25,0.46,-0.88,0.28,1.03169763,,
29.3,0.25,-0.85,0.2,0.908295106,,
29.35,0.41,-0.85,0.23,0.971339282,,
29.4,0.41,-0.91,0.27,1.03397292,,
29.45,0.51,-0.87,0.32,1.058017013,,
29.5,0.45,-0.9,0.3,1.05,,
29.55,0.46,-0.86,0.3,1.020392082,,
29.6,0.51,-0.81,0.33,1.012472222,,
29.65,0.54,-0.76,0.37,1.003045363,,
29.7,0.56,-0.67,0.38,0.952312974,,
29.75,0.58,-0.69,0.43,0.998699154,,
29.8,0.56,-0.73,0.47,1.033150521,,
29.85,0.62,-1.06,0.55,1.345548215,,
29.9,0.75,-1.37,0.53,1.649333199,,
29.95,0.66,-1.38,0.42,1.586316488,,
30,0.7,-1.26,0.39,1.493218001,,
30.05,0.54,-1.24,0.22,1.370255451,,
30.1,0.35,-1.07,0.1,1.130221217,,
30.15,0.26,-0.84,0.03,0.879829529,,
30.2,0.31,-0.7,0.03,0.766159252,,
30.25,0.35,-0.61,0.04,0.704414651,,
30.3,0.4,-0.57,0.13,0.70837843,,
30.35,0.42,-0.67,0.23,0.823528992,,
30.4,0.4,-1.25,0.23,1.332441368,,
30.45,0.56,-1.98,0.3,2.079422997,,
30.5,0.87,-1.81,0.87,2.188584017,,
30.55,0.49,-0.95,0.49,1.175882647,,
30.6,0.11,-1.15,0.01,1.155292171,,
30.65,0.48,-0.75,-0.1,0.896046874,,
30.7,0.89,-0.48,0.06,1.012965942,,
30.75,0.84,-0.33,0.17,0.918368118,,
30.8,0.59,-0.21,0.22,0.663777071,,
30.85,0.64,-0.37,0.25,0.780384521,,
30.9,0.95,-0.88,0.53,1.399214065,,
30.95,0.85,-0.91,0.43,1.317383771,,
31,0.99,-1.45,0.5,1.825541016,,
31.05,0.92,-1.51,0.4,1.812870652,,
31.1,0.46,-1.28,0.14,1.367333171,,
31.15,0.23,-1.29,0.19,1.324046827,,
31.2,0.3,-1.18,0.28,1.249319815,,
31.25,0.54,-0.77,0.05,0.941806774,,
31.3,0.56,-0.69,0.09,0.893196507,,
31.35,0.4,-0.66,0.04,0.772787163,,
31.4,0.37,-0.68,0.07,0.77730303,,
31.45,0.42,-0.86,0.12,0.964572444,,
31.5,0.44,-1.3,0.11,1.376844218,,
31.55,0.6,-1.47,0.39,1.634931191,,
31.6,0.65,-1.04,0.77,1.448102206,,
31.65,0.42,-1.04,0.37,1.181058847,,
31.7,0.1,-1.01,0.1,1.019852931,,
31.75,0.35,-0.9,0.17,0.980510071,,
31.8,0.79,-0.77,0.27,1.135737646,,
31.85,0.87,-0.55,0.38,1.097178199,,
31.9,0.78,-0.45,0.42,0.99362971,,
31.95,0.71,-0.72,0.37,1.076754382,,
32,0.73,-0.95,0.33,1.242698676,,
32.05,1.02,-1.36,0.58,1.79621825,,
32.1,0.78,-1.39,0.33,1.627697761,,
32.15,0.72,-1.42,0.27,1.614837453,,
32.2,0.49,-1.36,0.14,1.452342935,,
32.25,0.39,-1.15,0.11,1.21930308,,
32.3,0.41,-1.03,0.09,1.112249972,,
32.35,0.38,-0.87,0.05,0.950683964,,
32.4,0.3,-0.66,0.01,0.725051722,,
32.45,0.32,-0.59,0.01,0.671267458,,
32.5,0.31,-0.6,0.03,0.676017751,,
32.55,0.44,-1.12,0.18,1.216716894,,
32.6,0.76,-1.46,0.52,1.726151789,,
32.65,0.71,-1.15,0.92,1.634931191,,
32.7,0.22,-1.2,0.15,1.229186723,,
32.75,-0.11,-1.04,0.01,1.045848937,,
32.8,0.62,-1.07,0,1.236648697,,
32.85,1.14,-0.8,0.16,1.401855913,,
32.9,0.95,-0.44,0.35,1.10390217,,
32.95,0.87,-0.45,0.43,1.069719589,,
33,0.77,-0.9,0.28,1.217086685,,
33.05,0.83,-1.02,0.35,1.360808583,,
33.1,1.08,-1.33,0.51,1.787568181,,
33.15,0.78,-1.47,0.26,1.684309948,,
33.2,0.64,-1.6,0.24,1.739885054,,
33.25,0.31,-1.4,0.1,1.437393474,,
33.3,0.4,-1.07,0.11,1.147606204,,
33.35,0.48,-0.94,0.11,1.06117859,,
33.4,0.26,-0.78,-0.02,0.822435408,,
33.45,0.26,-0.63,0.04,0.682715168,,
33.5,0.19,-0.61,0.03,0.639609256,,
33.55,0.28,-0.71,-0.01,0.763282385,,
33.6,0.43,-1.19,0.05,1.266293805,,
33.65,0.89,-1.68,0.38,1.938788281,,
33.7,1.53,-1.27,1.45,2.460955099,,
33.75,0.16,-1.09,0.04,1.102406459,,
33.8,-0.33,-1.16,0.06,1.207518116,,
33.85,0.16,-1.07,-0.04,1.082635673,,
33.9,1.12,-0.91,0.15,1.450861813,,
33.95,1.05,-0.52,0.24,1.196035117,,
34,0.81,-0.35,0.31,0.935253976,,
34.05,1.01,-0.57,0.49,1.259007546,,
34.1,0.86,-0.91,0.29,1.285223716,,
34.15,0.91,-1.48,0.48,1.802470527,,
34.2,0.69,-1.44,0.35,1.634686514,,
34.25,0.6,-1.56,0.28,1.694697613,,
34.3,0.45,-1.39,0.17,1.470884088,,
34.35,0.52,-1.08,0.19,1.213630916,,
34.4,0.52,-0.95,0.14,1.092016483,,
34.45,0.41,-0.83,0.03,0.926228913,,
34.5,0.22,-0.68,-0.05,0.71644958,,
34.55,0.25,-0.54,-0.03,0.595818764,,
34.6,0.26,-0.57,0,0.626498204,,
34.65,0.44,-0.92,0.14,1.029368739,,
34.7,0.51,-1.56,0.22,1.655928742,,
34.75,0.87,-2,0.88,2.351871595,,
34.8,0.86,-0.72,0.95,1.469863939,,
34.85,-0.05,-1.23,0.24,1.254192968,,
34.9,0.05,-1.05,0,1.051189802,,
34.95,0.49,-0.85,-0.19,0.999349789,,
35,1.04,-0.48,-0.07,1.147562634,,
35.05,0.99,-0.25,0.16,1.033537614,,
35.1,0.73,-0.23,0.22,0.79636675,,
35.15,0.59,-0.42,0.34,0.800062498,,
35.2,0.77,-0.85,0.38,1.208221834,,
35.25,0.83,-0.98,0.48,1.371021517,,
35.3,1.04,-1.53,0.62,1.951127879,,
35.35,0.46,-1.32,0.5,1.484587485,,
35.4,0.5,-1.46,0.45,1.607513608,,
35.45,0.5,-1.45,0.36,1.575468184,,
35.5,0.36,-0.99,0.18,1.068690788,,
35.55,0.36,-0.75,0.16,0.847171765,,
35.6,0.52,-0.62,0.26,0.849941174,,
35.65,0.37,-0.42,0.2,0.594390444,,
35.7,0.22,-0.34,0.1,0.417133072,,
35.75,0.33,-0.65,0.04,0.73006849,,
35.8,0.42,-1.53,-0.14,1.592764892,,
35.85,0.93,-2,-0.08,2.207102173,,
35.9,1.06,-1.74,0.55,2.110379113,,
35.95,0.56,-1.05,0.03,1.190378091,,
36,0.29,-1.2,-0.22,1.25399362,,
36.05,0.54,-1.12,-0.35,1.291704301,,
36.1,0.92,-0.69,-0.18,1.164001718,,
36.15,0.82,-0.43,-0.11,0.932416216,,
36.2,0.75,-0.43,-0.02,0.8647543,,
36.25,0.94,-0.38,0.26,1.046709129,,
36.3,0.88,-0.61,0.45,1.161464593,,
36.35,0.89,-0.96,0.41,1.371787156,,
36.4,0.69,-1.41,0.66,1.702879914,,
36.45,0.88,-1.15,0.57,1.556213353,,
36.5,0.95,-1.95,0.52,2.230560468,,
36.55,0.35,-1.67,0.13,1.71122763,,
36.6,0.34,-1.24,0.12,1.291355877,,
36.65,0.46,-0.98,0.17,1.09585583,,
36.7,0.28,-0.74,0.08,0.795235814,,
36.75,0.19,-0.52,0.1,0.562583327,,
36.8,0.24,-0.44,0.17,0.529244745,,
36.85,0.27,-0.69,0.29,0.795675813,,
36.9,0.2,-1.1,0.18,1.132431013,,
36.95,0.31,-2,-0.1,2.026351401,,
37,1.29,-2,0.65,2.467103565,,
37.05,0.71,-1.35,0.07,1.526925015,,
37.1,0.44,-1.15,-0.17,1.242980289,,
37.15,0.7,-0.92,-0.22,1.176775255,,
37.2,0.83,-0.57,-0.22,1.030630875,,
37.25,0.69,-0.36,-0.06,0.78057671,,
37.3,0.66,-0.29,0.13,0.732529863,,
37.35,0.93,-0.62,0.38,1.180550719,,
37.4,1.13,-1,0.46,1.577498019,,
37.45,1.25,-1.33,0.45,1.879867017,,
37.5,0.77,-1.07,0.5,1.409893613,,
37.55,0.89,-1.17,0.46,1.540324641,,
37.6,0.79,-1.47,0.36,1.707219962,,
37.65,0.45,-1.45,0.12,1.522957649,,
37.7,0.11,-1.05,0.07,1.05806427,,
37.75,0.32,-0.78,0.08,0.846876614,,
37.8,0.09,-0.75,0.02,0.755645419,,
37.85,0.38,-0.66,0.17,0.780320447,,
37.9,0.29,-0.87,0.09,0.921466223,,
37.95,0.39,-1.29,0.15,1.355986726,,
38,0.56,-1.73,0.28,1.839809773,,
38.05,0.8,-1.35,0.68,1.710233902,,
38.1,0.7,-0.91,0.41,1.219098027,,
38.15,0.31,-0.91,0.15,0.972985098,,
38.2,0.39,-0.85,0.1,0.940531764,,
38.25,0.61,-0.71,0.05,0.937389994,,
38.3,0.77,-0.54,0.11,0.946889645,,
38.35,0.72,-0.47,0.2,0.882779701,,
38.4,0.83,-0.54,0.42,1.07559286,,
38.45,0.86,-0.91,0.54,1.363561513,,
38.5,0.6,-0.94,0.31,1.157454103,,
38.55,0.78,-1.3,0.51,1.599531181,,
38.6,0.72,-1.16,0.49,1.450551619,,
38.65,0.8,-1.19,0.43,1.496996994,,
38.7,0.64,-1.21,0.21,1.384846562,,
38.75,0.35,-1.08,0.12,1.141621654,,
38.8,0.29,-0.95,0.12,1.000499875,,
38.85,0.32,-0.81,0.09,0.875556966,,
38.9,0.34,-0.7,0.07,0.781344994,,
38.95,0.41,-0.74,0.05,0.847466814,,
39,0.49,-0.99,0.1,1.109143814,,
39.05,0.56,-1.3,0.28,1.442913719,,
39.1,0.65,-1.11,0.61,1.423622141,,
39.15,0.36,-0.93,0.56,1.143721994,,
39.2,0.46,-1.03,0.36,1.184103036,,
39.25,0.37,-0.94,0.31,1.056692954,,
39.3,0.64,-0.79,0.35,1.075267409,,
39.35,0.79,-0.59,0.49,1.101044958,,
39.4,0.7,-0.5,0.37,0.936429389,,
39.45,0.63,-0.61,0.39,0.959739548,,
39.5,0.75,-0.97,0.44,1.302689526,,
39.55,0.71,-0.91,0.33,1.200458246,,
39.6,1.03,-1.13,0.47,1.599593698,,
39.65,0.73,-1.28,0.29,1.501798921,,
39.7,0.53,-1.25,0.18,1.369598481,,
39.75,0.52,-1.24,0.14,1.351887569,,
39.8,0.51,-1.07,0.13,1.192434485,,
39.85,0.41,-0.91,0.07,1.000549849,,
39.9,0.35,-0.79,0.08,0.867755726,,
39.95,0.29,-0.64,0.1,0.709718254,,
40,0.36,-0.69,0.14,0.790759129,,
40.05,0.3,-0.89,0.19,0.95822753,,
40.1,0.4,-1.3,0.38,1.412232276,,
40.15,0.51,-1.38,0.76,1.655928742,,
40.2,0.46,-0.99,0.63,1.260396763,,
40.25,0.35,-1.04,0.33,1.145862121,,
40.3,0.41,-0.83,0.2,0.947100839,,
40.35,0.64,-0.85,0.22,1.086508168,,
40.4,0.71,-0.68,0.17,0.997697349,,
40.45,0.7,-0.58,0.2,0.930806102,,
40.5,0.77,-0.67,0.26,1.053280589,,
40.55,0.83,-0.9,0.35,1.273342059,,
40.6,0.76,-0.85,0.36,1.195700631,,
40.65,0.92,-1.32,0.53,1.69401889,,
40.7,0.74,-1.27,0.44,1.534307661,,
40.75,0.67,-1.15,0.24,1.352405265,,
40.8,0.48,-1.17,0.17,1.276009404,,
40.85,0.48,-1,0.16,1.120714058,,
40.9,0.36,-0.91,0.08,0.98188594,,
40.95,0.29,-0.86,0.03,0.908074887,,
41,0.26,-0.67,-0.01,0.718748913,,
41.05,0.36,-0.72,0.02,0.805232886,,
41.1,0.48,-0.98,0.15,1.101498979,,
41.15,0.56,-1.19,0.29,1.346773923,,
41.2,0.64,-1.22,0.63,1.514892735,,
41.25,0.43,-0.95,0.61,1.208097678,,
41.3,0.21,-1,0.2,1.041201229,,
41.35,0.36,-0.87,0.16,0.955039266,,
41.4,0.73,-0.82,0.23,1.121695146,,
41.45,0.81,-0.6,0.32,1.057591604,,
41.5,0.73,-0.45,0.32,0.915314154,,
41.55,0.68,-0.65,0.37,1.010841234,,
41.6,0.52,-0.94,0.27,1.107655181,,
41.65,0.83,-1.11,0.5,1.473431369,,
41.7,0.89,-1.21,0.55,1.599593698,,
41.75,0.72,-1.19,0.39,1.444506836,,
41.8,0.59,-1.33,0.3,1.485597523,,
41.85,0.46,-1.27,0.22,1.368539367,,
41.9,0.43,-0.98,0.19,1.08692226,,
41.95,0.37,-0.88,0.16,0.967935948,,
42,0.25,-0.72,0.08,0.766355009,,
42.05,0.21,-0.53,0.08,0.575673519,,
42.1,0.29,-0.54,0.12,0.624579859,,
42.15,0.36,-0.79,0.17,0.884646822,,
42.2,0.49,-1.62,0.19,1.703114794,,
42.25,0.98,-1.99,0.83,2.368417193,,
42.3,0.48,-1.05,0.39,1.218605761,,
42.35,0.18,-1.09,-0.01,1.104807676,,
42.4,0.45,-0.97,-0.13,1.077172224,,
42.45,0.89,-0.71,-0.16,1.149695612,,
42.5,0.82,-0.48,-0.18,0.967057392,,
42.55,0.73,-0.35,-0.08,0.81351091,,
42.6,0.7,-0.44,0.07,0.829759001,,
42.65,0.98,-0.77,0.29,1.279609315,,
42.7,0.74,-1.01,0.16,1.262259878,,
42.75,1.08,-1.41,0.71,1.912746716,,
42.8,0.74,-1.09,0.69,1.487212157,,
42.85,0.94,-1.09,0.72,1.609378762,,
42.9,0.71,-1.28,0.3,1.49415528,,
42.95,0.45,-1.1,0.1,1.192686044,,
43,0.27,-0.91,0.05,0.95052617,,
43.05,0.19,-0.81,0.01,0.832045672,,
43.1,0.18,-0.63,-0.03,0.655896333,,
43.15,0.36,-0.61,0.02,0.70859015,,
43.2,0.53,-0.92,0.14,1.070934172,,
43.25,0.58,-1.35,0.18,1.480304023,,
43.3,0.78,-1.7,0.45,1.923772336,,
43.35,0.73,-1.1,0.82,1.554123547,,
43.4,0.19,-0.89,0.27,0.949262872,,
43.45,0.04,-1.05,-0.04,1.051522705,,
43.5,0.25,-0.87,-0.15,0.917551088,,
43.55,0.86,-0.74,-0.08,1.137365377,,
43.6,0.95,-0.53,0.06,1.089495296,,
43.65,0.82,-0.39,0.24,0.939201789,,
43.7,0.74,-0.43,0.41,0.948999473,,
43.75,0.82,-0.76,0.47,1.212806662,,
43.8,0.53,-1.09,0.24,1.235556555,,
43.85,0.66,-1.41,0.58,1.661354869,,
43.9,0.74,-0.93,0.56,1.31381125,,
43.95,0.78,-1.12,0.61,1.494958193,,
44,0.68,-1.21,0.43,1.453065725,,
44.05,0.46,-1.1,0.28,1.224744871,,
44.1,0.33,-0.97,0.18,1.040288422,,
44.15,0.32,-0.89,0.15,0.95760117,,
44.2,0.28,-0.75,0.12,0.809506022,,
44.25,0.3,-0.59,0.1,0.669402719,,
44.3,0.4,-0.69,0.14,0.809753049,,
44.35,0.42,-0.96,0.19,1.064941313,,
44.4,0.48,-1.45,0.23,1.544603509,,
44.45,0.76,-1.56,0.7,1.871149379,,
44.5,0.52,-0.91,0.72,1.271573828,,
44.55,0.12,-1.09,0.16,1.108196733,,
44.6,0.15,-0.96,-0.04,0.972471079,,
44.65,0.56,-0.87,-0.01,1.034698024,,
44.7,0.87,-0.65,0.02,1.086185988,,
44.75,0.82,-0.43,0.12,0.933648756,,
44.8,0.76,-0.31,0.24,0.855160804,,
44.85,0.83,-0.46,0.37,1.01852835,,
44.9,0.76,-0.72,0.32,1.094714575,,
44.95,0.68,-1.05,0.25,1.275695889,,
45,0.91,-1.27,0.5,1.640426774,,
45.05,0.74,-1.22,0.53,1.522136656,,
45.1,0.85,-1.3,0.56,1.651090549,,
45.15,0.67,-1.43,0.33,1.613288567,,
45.2,0.42,-1.19,0.18,1.274715655,,
45.25,0.27,-0.92,0.15,0.970463807,,
45.3,0.25,-0.78,0.14,0.830963296,,
45.35,0.16,-0.61,0.06,0.633482439,,
45.4,0.27,-0.57,0.1,0.638592202,,
45.45,0.38,-0.76,0.16,0.864638653,,
45.5,0.45,-1.06,0.25,1.17838873,,
45.55,0.63,-1.72,0.32,1.859489177,,
45.6,0.84,-2,0.52,2.230694959,,
45.65,0.57,-0.76,0.39,1.026937194,,
45.7,0.28,-0.95,0.04,0.99121138,,
45.75,0.56,-0.97,-0.08,1.122898036,,
45.8,0.69,-0.75,-0.07,1.021518478,,
45.85,0.7,-0.5,-0.05,0.861684397,,
45.9,0.62,-0.38,0.05,0.728903286,,
45.95,0.69,-0.37,0.2,0.808084154,,
46,0.89,-0.57,0.42,1.137277451,,
46.05,0.85,-0.94,0.49,1.358749425,,
46.1,0.6,-1.25,0.44,1.454682096,,
46.15,0.66,-1.31,0.65,1.604431363,,
46.2,0.56,-0.87,0.63,1.211362869,,
46.25,0.68,-1.05,0.61,1.391761474,,
46.3,0.58,-1.04,0.39,1.253036312,,
46.35,0.45,-0.9,0.27,1.041825321,,
46.4,0.39,-0.94,0.2,1.037159583,,
46.45,0.33,-0.91,0.1,0.97313925,,
46.5,0.26,-0.72,0.04,0.766550716,,
46.55,0.41,-0.77,0.09,0.876983466,,
46.6,0.49,-0.92,0.18,1.057780696,,
46.65,0.45,-1.16,0.18,1.257179383,,
46.7,0.59,-1.4,0.41,1.573594611,,
46.75,0.61,-0.8,0.71,1.231340733,,
46.8,0.23,-0.99,0.28,1.054229577,,
46.85,0.19,-0.9,0.17,0.935414347,,
46.9,0.2,-0.89,0.05,0.913564448,,
46.95,0.76,-0.73,0.08,1.056834897,,
47,0.82,-0.6,0.17,1.030194156,,
47.05,0.8,-0.54,0.32,1.016857906,,
47.1,0.74,-0.64,0.38,1.049571341,,
47.15,0.64,-0.94,0.34,1.18692881,,
47.2,0.53,-0.91,0.23,1.077914653,,
47.25,0.9,-1.17,0.52,1.565023961,,
47.3,0.98,-1.14,0.5,1.584297952,,
47.35,0.75,-1.1,0.37,1.381810407,,
47.4,0.68,-1.11,0.32,1.340484987,,
47.45,0.62,-1.14,0.21,1.314572174,,
47.5,0.46,-1.13,0.11,1.224989796,,
47.55,0.35,-1.03,0.05,1.088990358,,
47.6,0.27,-0.83,-0.02,0.873040663,,
47.65,0.37,-0.66,0,0.756637298,,
47.7,0.38,-0.77,0.01,0.858719978,,
47.75,0.43,-1.06,0.11,1.149173616,,
47.8,0.69,-1.53,0.32,1.708625178,,
47.85,0.61,-1.02,0.64,1.349851844,,
47.9,0.41,-1,0.38,1.145643924,,
47.95,-0.02,-1.17,0.16,1.181058847,,
48,0.49,-1.04,0.07,1.151781229,,
48.05,0.88,-0.69,0.13,1.125788612,,
48.1,0.95,-0.5,0.28,1.109459328,,
48.15,0.79,-0.48,0.32,0.978212656,,
48.2,0.68,-0.58,0.27,0.933648756,,
48.25,0.72,-0.79,0.26,1.100045454,,
48.3,0.78,-1.12,0.39,1.419471733,,
48.35,0.72,-1.41,0.3,1.61136588,,
48.4,0.98,-1.34,0.15,1.666883319,,
48.45,0.58,-1.57,-0.12,1.678004768,,
48.5,0.61,-1.3,-0.05,1.436871602,,
48.55,0.74,-1.14,0,1.359117361,,
48.6,0.63,-1.05,0.04,1.225153052,,
48.65,0.51,-0.93,0.21,1.081249277,,
48.7,0.5,-0.52,0.52,0.889269363,,
48.75,0.45,-0.29,0.69,0.873326972,,
48.8,0.32,-0.22,0.81,0.898276127,,
48.85,0.32,-0.23,0.91,0.991665266,,
48.9,0.28,-0.32,0.96,1.04995238,,
48.95,0.26,-0.22,0.89,0.95294281,,
49,-0.05,-0.48,0.48,0.680661443,,
49.05,0.38,-0.07,0.83,0.915532632,,
49.1,0.31,-0.2,0.77,0.853814968,,
49.15,0.49,-0.1,0.9,1.029611577,,
49.2,0.55,-0.2,0.91,1.081942697,,
49.25,0.61,-0.08,0.96,1.140219277,,
49.3,0.47,-0.13,0.88,1.006081508,,
49.35,0.45,-0.22,0.96,1.082820391,,
