,accelx,accely,accelz,mag, steps, time
13.55,0.9,-0.44,-0.2,1.021567423,,
13.6,0.81,-0.36,-0.02,0.886622806,,
13.65,0.88,-0.3,0.1,0.935093578,,
13.7,1.22,-0.54,0.39,1.39,,
13.75,1.31,-1,0.4,1.695906837,,
13.8,1.04,-1.47,0.41,1.846780983,,
13.85,0.86,-1.63,0.3,1.867217181,,
13.9,0.82,-1.99,0.25,2.166794868,,
13.95,0.64,-1.57,0.19,1.706048065,,
14,0.54,-1.37,0.17,1.482362978,,
14.05,0.37,-1.03,0.05,1.095582037,,
14.1,0.29,-0.82,0.11,0.876698352,,
14.15,0.25,-0.63,0.11,0.686658576,,
14.2,0.26,-0.56,0.13,0.630951662,,
14.25,0.29,-0.64,0.19,0.727873615,,
14.3,0.25,-0.98,0.02,1.011582918,,
14.35,0.34,-1.94,-0.37,2.004020958,,
14.4,1.31,-2,-0.19,2.398374449,,
14.45,1.17,-1.65,0.09,2.024722203,,
14.5,0.6,-1.55,-0.5,1.735655496,,
14.55,0.68,-1.3,-0.5,1.549967742,,
14.6,0.8,-1.03,-0.47,1.386290013,,
14.65,0.76,-0.68,-0.45,1.11467484,,
14.7,0.75,-0.55,-0.34,0.990252493,,
14.75,0.83,-0.55,-0.14,1.005484958,,
14.8,1.15,-0.44,0.14,1.239233634,,
14.85,1.35,-0.43,0.41,1.474957627,,
14.9,1.22,-0.77,0.52,1.53352535,,
14.95,1.37,-1.31,0.58,1.982271424,,
15,1.09,-1.51,0.39,1.902708596,,
15.05,0.77,-1.88,0.29,2.052169584,,
15.1,0.64,-1.82,0.16,1.935871897,,
15.15,0.42,-1.26,0.07,1.33,,
15.2,0.41,-0.99,0.05,1.072706857,,
15.25,0.37,-0.79,0.07,0.875157129,,
15.3,0.29,-0.57,0.08,0.644515322,,
15.35,0.3,-0.51,0.13,0.605805249,,
15.4,0.26,-0.56,0.09,0.6239391,,
15.45,0.29,-0.9,0.05,0.946889645,,
15.5,0.54,-2,0,2.071617725,,
15.55,1.43,-2,0.52,2.513026064,,
15.6,0.87,-1.19,0.36,1.517432041,,
15.65,0.29,-1.3,-0.12,1.337348122,,
15.7,0.48,-1.15,-0.2,1.262101422,,
15.75,0.91,-0.8,-0.19,1.226458316,,
15.8,0.94,-0.49,-0.16,1.072054103,,
15.85,0.88,-0.31,0.08,0.936429389,,
15.9,0.81,-0.41,0.16,0.921845974,,
15.95,1.05,-0.45,0.4,1.210371844,,
16,1.08,-0.66,0.27,1.294179277,,
16.05,1.08,-1.16,0.29,1.611241757,,
16.1,1.21,-1.67,0.34,2.090119614,,
16.15,0.88,-1.84,0.04,2.04,,
16.2,0.61,-1.71,-0.07,1.816892952,,
16.25,0.49,-1.41,-0.12,1.497531302,,
16.3,0.43,-0.97,-0.13,1.068971468,,
16.35,0.49,-0.81,-0.07,0.949262872,,
16.4,0.49,-0.67,-0.04,0.831023465,,
16.45,0.39,-0.6,-0.01,0.715681493,,
16.5,0.46,-0.57,0.17,0.751930848,,
16.55,0.4,-0.7,0.13,0.816639455,,
16.6,0.41,-1.09,0.15,1.174180565,,
16.65,0.57,-1.61,0.16,1.715400828,,
16.7,0.92,-1.62,0.54,1.939690697,,
16.75,0.59,-1.25,0.28,1.410319113,,
16.8,0.43,-1.3,0.03,1.369598481,,
16.85,0.56,-1.08,-0.01,1.216593605,,
16.9,0.85,-0.89,0,1.230690863,,
16.95,0.99,-0.62,0.05,1.169187752,,
17,0.99,-0.39,0.19,1.080879272,,
17.05,0.88,-0.42,0.23,1.001848292,,
17.1,0.99,-0.7,0.34,1.259245806,,
17.15,0.91,-0.73,0.32,1.209710709,,
17.2,0.99,-1.03,0.39,1.480911881,,
17.25,0.94,-1.59,0.13,1.851647915,,
17.3,0.74,-1.49,-0.06,1.664722199,,
17.35,0.64,-1.51,-0.05,1.640792491,,
17.4,0.59,-1.23,-0.14,1.3713497,,
17.45,0.6,-0.97,-0.05,1.14166545,,
17.5,0.55,-0.87,-0.06,1.031018914,,
17.55,0.51,-0.72,-0.01,0.882383137,,
17.6,0.6,-0.5,0.25,0.820060973,,
17.65,0.53,-0.48,0.27,0.764329772,,
17.7,0.54,-0.47,0.35,0.796868873,,
17.75,0.71,-0.63,0.37,1.018773773,,
17.8,1.02,-0.96,0.39,1.453994498,,
17.85,0.91,-0.94,0.62,1.447791421,,
17.9,0.74,-0.92,0.47,1.270787158,,
17.95,0.75,-0.62,0.37,1.041057155,,
18,0.64,-0.59,0.46,0.984530345,,
18.05,0.68,-0.53,0.5,0.99664437,,
18.1,0.95,-0.38,0.84,1.323820229,,
18.15,0.87,-0.15,0.92,1.275068626,,
18.2,0.81,-0.15,1.03,1.318901058,,
18.25,0.52,-0.24,0.95,1.109279045,,
18.3,0.5,-0.21,0.93,1.076568623,,
18.35,0.64,-0.16,0.91,1.123966192,,
18.4,0.75,-0.21,0.92,1.205404496,,
18.45,0.69,0.07,0.79,1.051237366,,
18.5,0.56,0,1,1.146123903,,
18.55,0.44,-0.62,0.77,1.082081328,,
18.6,0.4,-0.25,0.86,0.980866963,,
18.65,0.54,-0.18,0.91,1.073359213,,
18.7,0.4,-0.18,0.91,1.010198,,
18.75,0.36,-0.15,0.9,0.980866963,,
