,accelx,accely,accelz,mag, steps, time
0.05,0.25,-0.04,1.03,1.060660172,30, 23s
0.1,-0.01,-0.04,0.87,0.870976464,,
0.15,0.09,0.01,0.95,0.954306031,,
0.2,-0.11,-0.03,0.88,0.887355622,,
0.25,0.21,0.02,1.05,1.070980859,,
0.3,0.12,0.03,1.01,1.017546068,,
0.35,0.14,0.03,1.03,1.039903842,,
0.4,0.13,0,1.03,1.038171469,,
0.45,0.13,0.01,1,1.008464179,,
0.5,0.15,0.03,0.98,0.991866927,,
0.55,0.16,0.02,1,1.012916581,,
0.6,0.14,0.03,1,1.010198,,
0.65,0.12,0.03,0.98,0.987775278,,
0.7,0.16,0.06,1.02,1.034214678,,
0.75,0.13,0.02,1.04,1.048284313,,
0.8,0.14,0.01,1.02,1.029611577,,
0.85,0.14,0.01,0.99,0.999899995,,
0.9,0.1,0.02,0.96,0.965401471,,
0.95,0.11,0.03,0.98,0.986610359,,
1,0.12,0.03,1,1.00762096,,
1.05,0.12,0.03,1.01,1.017546068,,
1.1,0.14,0.04,1.02,1.03033975,,
1.15,0.1,0.04,0.99,0.995841353,,
1.2,0.11,0.06,0.99,0.99789779,,
1.25,0.11,0.06,0.98,0.987977733,,
1.3,0.12,0.07,1,1.009603883,,
1.35,0.12,0.05,1,1.008414597,,
1.4,0.1,0.03,1,1.005435229,,
1.45,0.1,0.03,0.98,0.985545534,,
1.5,0.09,0.04,0.99,0.994886928,,
1.55,0.05,0.04,0.98,0.982089609,,
1.6,0.06,0.03,0.91,0.912469178,,
1.65,0.05,-0.02,0.78,0.781856764,,
1.7,0.19,-0.23,0.83,0.881986394,,
1.75,0.2,-0.19,0.79,0.836779541,,
1.8,0.09,-0.41,0.49,0.645213143,,
1.85,0.28,-0.85,0.42,0.988584847,,
1.9,0.33,-1.11,0.19,1.173499041,,
1.95,0.42,-1.45,0.04,1.510132445,,
2,0.69,-1.83,-0.12,1.959438695,,
2.05,1.13,-2,-0.32,2.3193318,,
2.1,1.75,-1.83,0.18,2.538464103,,
2.15,1.31,-1.09,0.14,1.709912278,,
2.2,0.89,-0.86,0.2,1.253674599,,
2.25,1.13,-0.6,0.12,1.285029183,,
2.3,1.34,-0.45,0.28,1.441006593,,
2.35,1.34,-0.65,0.32,1.523318745,,
2.4,1.19,-1.32,0.21,1.789580957,,
2.45,1.05,-1.82,0.09,2.10309296,,
2.5,0.67,-2,-0.13,2.113243952,,
2.55,0.6,-1.78,-0.11,1.881621641,,
2.6,0.57,-1.27,-0.11,1.396388198,,
2.65,0.47,-1.21,-0.06,1.299461427,,
2.7,0.43,-0.75,-0.06,0.866602562,,
2.75,0.38,-0.69,-0.03,0.788289287,,
2.8,0.28,-0.64,-0.06,0.701141926,,
2.85,0.26,-0.86,0,0.898443098,,
2.9,0.42,-1.44,0.05,1.500833102,,
2.95,1.16,-1.81,0.79,2.290371149,,
3,0.39,-1.73,0.29,1.796969671,,
3.05,0.24,-1.4,0.07,1.422146265,,
3.1,0.85,-1.34,-0.07,1.588395417,,
3.15,1.13,-1.01,-0.12,1.520328912,,
3.2,1.16,-0.65,-0.18,1.341827113,,
3.25,1.12,-0.51,-0.01,1.230690863,,
3.3,1.1,-0.53,0.1,1.22511224,,
3.35,1.2,-0.63,0.14,1.362534403,,
3.4,1.33,-1.06,0.15,1.707337108,,
3.45,1.18,-1.67,0.03,2.045042787,,
3.5,1.08,-1.95,-0.14,2.233495019,,
3.55,0.75,-2,-0.26,2.151766716,,
3.6,0.59,-1.41,-0.08,1.530555455,,
3.65,0.42,-1.3,-0.22,1.383762985,,
3.7,0.36,-0.83,-0.09,0.909175451,,
3.75,0.27,-0.65,-0.13,0.715751353,,
3.8,0.32,-0.48,-0.11,0.587281874,,
3.85,0.33,-0.68,0.02,0.756108458,,
3.9,0.43,-1.42,-0.08,1.4858331,,
3.95,0.88,-1.78,0.49,2.045213925,,
4,0.61,-1.82,0.38,1.956757522,,
4.05,0.3,-1.33,0.18,1.375245433,,
4.1,0.44,-1.27,0.19,1.357424031,,
4.15,0.86,-1.26,0.08,1.527612516,,
4.2,0.99,-1.02,0.12,1.426499211,,
4.25,1.1,-0.54,0.18,1.238547536,,
4.3,1.14,-0.41,0.22,1.231300126,,
4.35,1.08,-0.58,0.18,1.23903188,,
4.4,1.08,-0.96,0.19,1.457429244,,
4.45,1.14,-1.23,0.06,1.678123953,,
4.5,1.35,-1.8,0.19,2.258007972,,
4.55,0.8,-2,-0.11,2.156872736,,
4.6,0.53,-1.64,-0.01,1.723542863,,
4.65,0.43,-1.29,-0.11,1.36422139,,
4.7,0.45,-0.85,-0.06,0.963638937,,
4.75,0.3,-0.76,-0.02,0.81731267,,
4.8,0.26,-0.64,-0.12,0.701141926,,
4.85,0.32,-0.69,-0.02,0.760854782,,
4.9,0.5,-1.16,0.13,1.26984251,,
4.95,0.82,-1.37,0.5,1.673110875,,
5,0.53,-1.68,0.36,1.798026696,,
5.05,0.14,-1.28,0.16,1.297536127,,
5.1,0.46,-1.32,0.04,1.398427689,,
5.15,1.07,-1.23,0.06,1.631379784,,
5.2,1.2,-0.88,0.12,1.492916609,,
5.25,1.1,-0.64,0.11,1.277380131,,
5.3,1,-0.59,0.16,1.172049487,,
5.35,1.11,-0.83,0.3,1.418097317,,
5.4,1.2,-1.1,0.39,1.67394743,,
5.45,1.06,-1.73,0.32,2.053996105,,
5.5,0.72,-1.91,0.11,2.04416242,,
5.55,0.49,-1.57,0.18,1.654508991,,
5.6,0.45,-1.11,0.05,1.198791058,,
5.65,0.51,-1.05,0.16,1.178218995,,
5.7,0.36,-0.74,0,0.822921624,,
5.75,0.27,-0.63,0.03,0.686075798,,
5.8,0.3,-0.56,0.09,0.641638528,,
5.85,0.36,-0.71,0.21,0.823286099,,
5.9,0.32,-1.29,0.11,1.333641631,,
5.95,0.65,-1.9,0.14,2.012982861,,
6,0.73,-2,0.24,2.142545215,,
6.05,0.54,-1.68,-0.23,1.779578602,,
6.1,0.65,-1.59,-0.55,1.803635218,,
6.15,1.13,-1.51,-0.44,1.936646586,,
6.2,1.23,-1.01,-0.23,1.608073381,,
6.25,1.06,-0.51,-0.1,1.180550719,,
6.3,0.98,-0.58,-0.04,1.139473563,,
6.35,1.27,-0.63,0.21,1.433143398,,
6.4,1.52,-0.88,0.39,1.799138683,,
6.45,1.33,-1.61,0.43,2.132111629,,
6.5,1.07,-2,0.13,2.271959507,,
6.55,0.77,-2,0.11,2.145926373,,
6.6,0.5,-1.64,-0.08,1.716391564,,
6.65,0.37,-1.26,-0.01,1.313240267,,
6.7,0.39,-0.8,-0.02,0.890224691,,
6.75,0.36,-0.61,0.16,0.726154254,,
6.8,0.08,-0.47,0.03,0.477702836,,
6.85,0.22,-0.62,0.08,0.662721661,,
6.9,0.25,-1.33,-0.09,1.356281682,,
6.95,0.84,-1.88,0.26,2.075475849,,
7,0.98,-1.85,0.54,2.162059204,,
7.05,0.42,-1.67,-0.13,1.726904745,,
7.1,0.62,-1.7,-0.17,1.817498281,,
7.15,1.08,-1.58,-0.32,1.940412327,,
7.2,1.24,-0.99,-0.23,1.603309078,,
7.25,1.2,-0.51,-0.17,1.314914446,,
7.3,1.23,-0.25,0.13,1.261863701,,
7.35,0.76,-0.53,-0.01,0.926606713,,
7.4,1.21,-0.79,0.32,1.480067566,,
7.45,1.36,-1.04,0.42,1.76283862,,
7.5,1.41,-1.61,0.44,2.184902744,,
7.55,1.19,-2,0.36,2.354930997,,
7.6,0.9,-2,0.29,2.212261287,,
7.65,0.3,-1.67,0,1.696732153,,
7.7,0.45,-1.11,0.05,1.198791058,,
7.75,0.37,-0.77,0.05,0.855745289,,
7.8,0.26,-0.61,0,0.663098786,,
7.85,0.08,-0.54,-0.04,0.547357287,,
7.9,0.14,-0.87,-0.04,0.882099768,,
7.95,0.32,-1.86,-0.49,1.949897433,,
8,1.23,-2,-0.01,2.347977853,,
8.05,1.35,-2,-0.14,2.417043649,,
8.1,0.85,-1.78,-0.43,2.018861065,,
8.15,0.71,-1.72,-0.4,1.903286631,,
8.2,1.14,-1.43,-0.59,1.921613905,,
8.25,1.21,-0.8,-0.51,1.537595525,,
8.3,0.84,-0.39,-0.34,0.986559679,,
8.35,0.94,-0.41,-0.3,1.068503627,,
8.4,1.28,-0.49,-0.33,1.409751751,,
8.45,1.61,-0.8,0.1,1.800583239,,
8.5,1.7,-1.09,0.23,2.032486162,,
8.55,1.55,-1.79,0.2,2.376257562,,
8.6,1.15,-2,-0.03,2.307249445,,
8.65,0.67,-2,0.07,2.110402805,,
8.7,0.39,-1.53,0,1.578923684,,
8.75,0.01,-0.93,-0.07,0.932684298,,
8.8,0.17,-0.56,0.05,0.587367006,,
8.85,0.14,-0.46,0.09,0.489182992,,
8.9,0.18,-0.53,0.06,0.562938718,,
8.95,0.22,-0.76,-0.04,0.792212093,,
9,0.4,-1.89,-0.2,1.942189486,,
9.05,1.45,-2,0.03,2.470506021,,
9.1,1.28,-1.51,0.05,1.980151509,,
9.15,0.27,-1.62,-0.14,1.648302157,,
9.2,0.5,-1.58,-0.3,1.684161512,,
9.25,1.16,-1.07,-0.42,1.633064604,,
9.3,0.97,-0.72,-0.35,1.257696307,,
9.35,0.87,-0.51,-0.4,1.084896308,,
9.4,1.13,-0.38,-0.18,1.20569482,,
9.45,1.33,-0.47,0.11,1.414885154,,
9.5,1.53,-0.7,0.19,1.693221781,,
9.55,1.53,-1.32,0.2,2.030591047,,
9.6,1.29,-1.93,0.11,2.324026678,,
9.65,0.86,-2,-0.11,2.179839444,,
9.7,0.5,-1.89,-0.18,1.963288058,,
9.75,0.39,-1.21,-0.22,1.290193784,,
9.8,0.37,-0.85,-0.14,0.937549999,,
9.85,0.29,-0.7,-0.14,0.770519305,,
9.9,0.37,-0.54,-0.08,0.659469484,,
9.95,0.27,-0.49,-0.1,0.56833089,,
10,0.35,-0.82,0.14,0.902496537,,
10.05,0.49,-1.67,0.15,1.746854316,,
10.1,1.05,-2,0.83,2.406532776,,
10.15,0.32,-1.58,0.27,1.634533573,,
10.2,0.43,-1.37,-0.03,1.436210291,,
10.25,0.91,-1.28,-0.17,1.579683513,,
10.3,1.26,-0.8,-0.16,1.501066288,,
10.35,1.2,-0.37,0.05,1.256741819,,
10.4,0.88,-0.32,0.16,0.949947367,,
10.45,0.82,-0.4,0.12,0.920217366,,
10.5,1.13,-0.71,0.27,1.361579965,,
10.55,1.08,-1.09,0.28,1.559775625,,
10.6,1.04,-1.75,0.26,2.052242676,,
10.65,0.81,-1.79,0.03,1.964968193,,
10.7,0.62,-1.77,-0.02,1.875553252,,
10.75,0.51,-1.34,-0.1,1.437254327,,
10.8,0.42,-1.03,-0.15,1.122408125,,
10.85,0.35,-0.79,-0.1,0.869827569,,
10.9,0.33,-0.6,-0.07,0.688331316,,
10.95,0.31,-0.53,-0.03,0.614735716,,
11,0.29,-0.59,-0.04,0.658634952,,
11.05,0.44,-0.9,0.14,1.011533489,,
11.1,0.56,-1.59,0.15,1.692394753,,
11.15,1.13,-1.8,0.67,2.228407503,,
11.2,0.46,-1.31,0.51,1.479121361,,
11.25,0.22,-1.23,0.1,1.253515058,,
11.3,0.3,-0.98,0,1.024890238,,
11.35,0.89,-0.81,0.04,1.20407641,,
11.4,0.93,-0.65,0,1.134636506,,
11.45,0.89,-0.43,0.14,0.998298553,,
11.5,0.88,-0.39,0.27,0.999699955,,
11.55,0.96,-0.78,0.32,1.2776541,,
11.6,0.9,-1.11,0.24,1.449034161,,
11.65,0.95,-1.56,0.33,1.856071119,,
11.7,0.82,-1.57,0.07,1.772625172,,
11.75,0.56,-1.41,0.02,1.51726728,,
11.8,0.68,-1.15,0.12,1.341379887,,
11.85,0.61,-0.92,-0.05,1.104988688,,
11.9,0.4,-0.82,-0.06,0.914330356,,
11.95,0.39,-0.76,-0.03,0.854751426,,
12,0.37,-0.57,0.05,0.681395627,,
12.05,0.39,-0.66,0.02,0.766876783,,
12.1,0.48,-1.09,0.1,1.195198728,,
12.15,0.61,-1.62,0.09,1.733378205,,
12.2,1.06,-1.51,0.6,1.940025773,,
12.25,0.56,-1.18,0.4,1.366016105,,
12.3,0.07,-1.14,-0.05,1.143241007,,
12.35,0.37,-1.13,-0.1,1.193230908,,
12.4,1.03,-0.99,-0.1,1.432131279,,
12.45,1.06,-0.64,0.02,1.238386046,,
12.5,0.95,-0.38,0.19,1.040672859,,
12.55,0.81,-0.38,0.19,0.914658406,,
12.6,0.89,-0.66,0.18,1.122541759,,
12.65,0.89,-0.98,0.28,1.353107535,,
12.7,0.99,-1.42,0.35,1.766069081,,
12.75,0.72,-1.67,0.17,1.826526759,,
12.8,0.7,-1.92,0.16,2.049878045,,
12.85,0.65,-1.25,0.18,1.420352069,,
12.9,0.45,-1.13,0.06,1.217784874,,
12.95,0.33,-0.83,0.02,0.893420394,,
13,0.26,-0.59,0.02,0.645058137,,
13.05,0.23,-0.45,0.04,0.506951674,,
13.1,0.27,-0.55,0.06,0.615629759,,
13.15,0.31,-0.86,0.09,0.91858587,,
13.2,0.34,-1.56,-0.04,1.597122412,,
13.25,0.85,-2,-0.12,2.176442051,,
13.3,1.24,-1.8,0.32,2.209072203,,
13.35,0.72,-1.39,-0.14,1.571655178,,
13.4,0.47,-1.27,-0.28,1.382823199,,
13.45,0.82,-1.11,-0.29,1.410177294,,
13.5,0.89,-0.74,-0.32,1.200874681,,
