,accelx,accely,accelz, steps
194,0.34,1.01,0.42
195,0.09,0.62,0.19
196,0.15,0.41,0.19
197,0.33,0.39,0.33
198,0.43,0.54,0.47
199,0.31,1.11,0.42
200,0.23,1.54,0.57
201,0.1,1.31,0.42
202,0.29,1.14,0.25
203,0.29,0.97,0.27
204,0.13,0.88,0.17
205,0.02,0.66,0.05
206,-0.02,0.36,0.04
207,-0.17,0.32,0.13
208,-0.35,0.76,0.33
209,-0.09,1.03,0.55
210,-0.27,1.23,0.36
211,-0.18,1.22,0.38
212,0.13,1.1,0.38
213,0.22,1.15,0.42
214,0.22,0.96,0.3
215,0.24,0.85,0.2
216,0.31,0.83,0.24
217,0.37,0.72,0.23
218,0.26,0.62,0.17
219,0.15,0.68,0.15
220,0.15,0.96,0.21
221,0.12,1.01,0.41
222,0.18,0.79,0.7
223,0.26,0.84,0.44
224,0.5,0.88,0.47
225,0.37,0.87,0.51
226,-0.01,0.73,0.32
227,-0.16,0.59,0.27
228,-0.11,0.61,0.41
229,-0.1,0.84,0.49
230,0.01,1.01,0.5
231,-0.05,1.0,0.41
232,-0.29,1.26,0.41
233,0.01,1.07,0.32
234,0.05,1.04,0.24
235,0.19,1.0,0.26
236,0.24,0.89,0.25
237,0.26,0.83,0.22
238,0.32,0.81,0.27
239,0.34,0.61,0.3
240,0.1,0.64,0.22
241,0.06,0.7,0.31
242,0.11,0.79,0.42
243,0.3,0.8,0.62
244,0.18,0.93,0.48
245,0.29,0.94,0.48
246,0.31,0.87,0.5
247,0.13,0.82,0.44
248,-0.01,0.68,0.37
249,-0.05,0.63,0.43
250,-0.03,0.7,0.49
251,-0.02,0.9,0.49
252,-0.03,0.94,0.41
253,-0.3,1.27,0.48
254,-0.02,1.09,0.36
255,0.02,1.18,0.28
256,0.15,1.13,0.25
257,0.26,0.95,0.28
258,0.27,0.81,0.26
259,0.29,0.73,0.25
260,0.34,0.59,0.27
261,0.3,0.48,0.28
262,0.31,0.54,0.33
263,0.3,0.71,0.4
264,0.39,1.52,0.13
265,0.23,1.65,0.0
266,-0.22,1.19,-0.06
267,0.27,1.21,0.17
268,0.85,1.25,0.42
269,0.15,1.18,-0.37
270,-0.25,0.54,-0.51
271,-0.3,0.23,-0.18
272,-0.15,0.57,0.14
273,-0.06,0.7,0.36
274,-0.32,1.0,0.43
275,-0.33,1.3,0.61
276,-0.08,1.27,0.38
277,0.06,1.49,0.34
278,0.35,1.39,0.41
279,0.31,1.01,0.31
280,0.34,0.78,0.27
281,0.42,0.64,0.26
282,0.41,0.5,0.24
283,0.29,0.43,0.19
284,0.23,0.61,0.28
285,0.29,1.07,0.27
286,0.21,1.71,0.22
287,-0.02,1.47,0.22
288,0.35,1.22,0.09
289,0.27,1.17,0.17
290,0.11,0.94,0.01
291,-0.04,0.71,-0.19
292,-0.12,0.46,-0.12
293,-0.17,0.39,0.12
294,-0.16,0.57,0.32
295,-0.04,0.88,0.47
296,-0.25,1.3,0.62
297,-0.21,1.38,0.59
298,0.06,1.38,0.38
299,0.23,1.58,0.38
300,0.49,1.16,0.54
301,0.28,0.79,0.48
302,0.11,0.5,0.25
303,0.26,0.45,0.34
304,0.41,0.28,0.39
305,0.47,0.18,0.43
306,0.43,0.44,0.55
307,0.35,1.23,0.62
308,0.11,1.64,0.33
309,-0.22,1.51,0.51
310,0.38,1.09,0.26
311,0.48,1.1,0.28
312,0.26,0.95,0.09
313,-0.04,0.68,-0.12
314,-0.11,0.3,-0.14
315,-0.06,0.29,0.14
316,-0.07,0.58,0.38
317,-0.03,1.03,0.54
318,-0.14,1.29,0.57
319,-0.11,1.39,0.63
320,0.03,1.06,0.64
321,-0.02,1.03,0.49
322,0.07,1.05,0.29
323,0.27,0.92,0.28
324,0.36,0.81,0.31
325,0.34,0.75,0.26
326,0.29,0.64,0.23
327,0.23,0.49,0.22
328,0.2,0.62,0.24
329,0.21,0.93,0.37
330,0.07,1.21,0.38
331,0.13,1.06,0.74
332,0.3,0.93,0.33
333,0.46,0.88,0.34
334,0.3,0.87,0.39
335,-0.06,0.73,0.3
336,-0.1,0.52,0.2
337,-0.08,0.45,0.29
338,-0.1,0.64,0.37
339,-0.04,1.04,0.42
340,-0.02,0.99,0.38
341,-0.39,1.26,0.48
342,-0.13,1.22,0.36
343,0.19,1.34,0.26
344,0.45,1.05,0.33
345,0.21,0.75,0.29
346,0.12,0.64,0.21
347,0.23,0.65,0.16
348,0.39,0.68,0.24
349,0.25,0.67,0.2
350,0.02,0.83,0.16
351,0.09,0.94,0.42
352,0.3,0.91,0.69
353,0.3,1.01,0.64
354,0.35,0.99,0.45
355,0.24,0.86,0.47
356,0.09,0.78,0.43
357,-0.02,0.6,0.41
358,-0.01,0.51,0.4
359,-0.03,0.64,0.43
360,-0.03,1.06,0.52
361,-0.1,1.03,0.41
362,-0.24,1.27,0.44
363,-0.02,1.11,0.35
364,0.09,1.17,0.28
365,0.22,1.08,0.31
366,0.22,0.88,0.3
367,0.29,0.78,0.25
368,0.29,0.67,0.2
369,0.25,0.55,0.17
370,0.17,0.58,0.17
371,0.22,0.67,0.24
372,0.17,0.96,0.34
373,-0.0,1.3,0.58
374,0.39,1.0,0.7
375,0.55,1.09,0.46
376,0.36,0.95,0.36
377,0.12,0.9,0.23
378,-0.03,0.51,0.08
379,-0.08,0.29,0.17
380,-0.05,0.34,0.23
381,0.1,0.69,0.41
382,0.07,0.82,0.47
383,-0.23,1.25,0.42
384,-0.14,1.45,0.53
385,0.02,1.24,0.42
386,0.09,1.21,0.41
387,0.14,1.06,0.31
388,0.24,0.91,0.31
389,0.45,0.74,0.36
390,0.39,0.54,0.32
391,0.28,0.32,0.25
392,0.22,0.3,0.25
393,0.33,0.5,0.4
394,0.35,1.2,0.42
395,0.04,1.96,0.41
396,0.12,1.34,0.41
397,0.32,1.12,0.17
398,0.21,1.07,0.13
399,0.12,0.91,0.03
400,0.15,0.6,-0.11
401,0.01,0.35,-0.09
402,-0.0,0.27,0.1
403,-0.04,0.39,0.28
404,0.01,0.65,0.5
405,0.07,0.88,0.6
406,-0.06,1.32,0.56
407,-0.11,1.42,0.64
408,-0.04,1.06,0.54
409,-0.08,1.17,0.4
410,0.18,1.0,0.36
411,0.25,0.92,0.41
412,0.24,0.86,0.36
413,0.29,0.76,0.39
414,0.47,0.5,0.32
415,0.25,0.39,0.27
416,0.19,0.46,0.37
417,0.24,0.73,0.49
418,0.03,1.43,0.4
419,0.08,1.49,0.4
420,0.02,0.99,0.2
421,0.27,1.05,0.15
422,0.15,0.81,0.08
423,-0.01,0.56,0.04
424,-0.01,0.46,0.07
425,0.02,0.47,0.16
426,-0.09,0.61,0.33
427,-0.2,0.72,0.44
428,-0.13,0.94,0.51
429,-0.02,1.13,0.61
430,-0.27,1.18,0.51
431,-0.04,1.09,0.42
432,0.01,1.03,0.27
433,0.16,1.1,0.25
434,0.3,0.95,0.3
435,0.32,0.88,0.3
436,0.31,0.81,0.24
437,0.27,0.67,0.18
438,0.14,0.51,0.17
439,0.16,0.55,0.26
440,0.19,0.75,0.38
441,0.19,1.16,0.46
442,0.18,1.29,0.59
443,0.16,0.97,0.6
444,0.14,0.92,0.32
445,0.35,0.88,0.42
446,0.32,0.86,0.44
447,0.01,0.71,0.35
448,-0.04,0.56,0.28
449,-0.05,0.58,0.37
450,0.03,0.64,0.46
451,-0.06,0.79,0.47
452,-0.01,0.91,0.49
453,-0.12,1.12,0.43
454,-0.12,1.4,0.36
455,-0.08,1.14,0.1
456,-0.04,1.06,0.06
457,0.07,0.98,0.19
458,0.08,0.8,0.3
459,0.21,0.71,0.62
460,0.26,0.48,0.73
461,0.28,0.37,0.86
462,0.56,0.3,1.01
463,0.29,0.29,0.92
464,0.39,0.18,1.06
465,0.22,0.18,1.05
466,0.27,0.23,1.09
467,0.09,0.23,1.04
468,0.24,0.17,1.08
