106172,68002.00
106164, 68003
106181, 68015
106179, 68016
106178, 68014
106192, 68018
106184, 68021
106181, 68022
106184, 68014
106190, 68016
106186, 68018
106193, 68019
106186, 68019
106187, 68018
106187, 68024
106191, 68029
106209, 68029
106196, 68027
106202, 68034
106188, 68027
106187, 68030
106193, 68033
106191, 68033
106192, 68028
106192, 68030
106200, 68035
106207, 68032
106198, 68031
106202, 68033
106203, 68036
106204, 68040
106199, 68033
106204, 68038
106207, 68038
106211, 68045
106211, 68045
106209, 68039
106213, 68044
106215, 68046
106211, 68045
106213, 68049
106213, 68053
106207, 68050
106201, 68050
106206, 68042
106200, 68047
106200, 68041
106198, 68048
106210, 68042
106206, 68041
106210, 68045
106214, 68050
106218, 68052
106217, 68050
106213, 68049
106211, 68051
106221, 68049
106221, 68054
106223, 68054
106216, 68055
106212, 68053
106221, 68055
106222, 68055
106227, 68065
106220, 68052
106223, 68056
106220, 68055
106228, 68063
106217, 68057
106211, 68057
106219, 68049
106215, 68057
106226, 68057
106215, 68056
106221, 68063
106220, 68054
106232, 68056
106224, 68065
106220, 68057
106237, 68060
106227, 68059
106220, 68058
106228, 68057
106224, 68057
106226, 68059
106228, 68062
106241, 68069
106229, 68062
106247, 68067
106244, 68072
106241, 68065
106237, 68075
106240, 68073
106232, 68068
106226, 68067
106229, 68068
106229, 68071
106228, 68068
106230, 68071
106232, 68075
106242, 68077
106244, 68079
106235, 68077
106247, 68074
106239, 68080
106236, 68076
106244, 68076
106246, 68077
106241, 68074
106242, 68078
106250, 68080
106259, 68084
106252, 68088
106261, 68089
106265, 68082
106259, 68092
106259, 68086
106253, 68093
106256, 68088
106251, 68093
106255, 68092
106248, 68088
106246, 68088
106261, 68093
106259, 68090
106263, 68092
106273, 68095
106266, 68094
106268, 68103
106272, 68104
106273, 68101
106267, 68098
106269, 68100
106281, 68104
106277, 68109
106277, 68106
106282, 68108
106277, 68113
106287, 68113
106284, 68112
106295, 68112
106296, 68115
106287, 68119
106296, 68114
106298, 68121
106299, 68123
106299, 68125
106289, 68126
106292, 68115
106281, 68121
106293, 68121
106293, 68120
106292, 68119
106297, 68119
106294, 68124
106291, 68123
106307, 68123
106305, 68129
106300, 68127
106297, 68127
106296, 68130
106312, 68135
106294, 68129
106306, 68135
106297, 68133
106307, 68132
106308, 68136
106308, 68130
106313, 68131
106319, 68145
106318, 68141
106312, 68140
106322, 68143
106313, 68139
106310, 68143
106313, 68139
106308, 68139
106302, 68136
106293, 68131
106298, 68134
106297, 68138
106291, 68138
106296, 68130
106296, 68128
106295, 68132
106301, 68136
106295, 68133
106296, 68142
106296, 68136
106290, 68135
106297, 68140
106306, 68134
106301, 68142
106303, 68143
106301, 68142
106304, 68143
106302, 68146
106316, 68145
106317, 68146
106313, 68143
106321, 68144
106313, 68147
106324, 68152
106321, 68149
106327, 68158
106335, 68149
106318, 68151
106315, 68151
106319, 68154
106308, 68155
106311, 68153
106310, 68149
106307, 68148
106312, 68145
106312, 68152
106309, 68145
106302, 68142
106306, 68143
106293, 68146
106299, 68143
106301, 68146
106303, 68151
106305, 68150
106305, 68158
106305, 68159
106322, 68171
106318, 68168
106326, 68169
106328, 68168
106331, 68174
106324, 68166
106325, 68169
106326, 68177
106333, 68172
106326, 68163
106338, 68173
106335, 68174
106337, 68175
106336, 68173
106330, 68171
106326, 68173
106326, 68176
106322, 68172
106323, 68171
106314, 68166
106313, 68171
106319, 68170
106331, 68172
106327, 68165
106325, 68170
106328, 68171
106334, 68176
106332, 68176
106328, 68175
106330, 68172
106332, 68175
106324, 68177
106335, 68177
106333, 68183
106334, 68187
106344, 68189
106350, 68194
106352, 68187
106366, 68193
106360, 68190
106374, 68198
106374, 68206
106368, 68205
106361, 68205
106362, 68208
106359, 68210
106348, 68202
106345, 68203
106353, 68194
106341, 68191
106349, 68202
106343, 68198
106343, 68193
106351, 68198
106346, 68203
106356, 68198
106346, 68196
106348, 68198
106345, 68201
106348, 68197
106356, 68207
106353, 68205
106360, 68210
106359, 68208
106356, 68216
106350, 68210
106352, 68211
106353, 68212
106344, 68208
106353, 68212
106360, 68209
106369, 68215
106370, 68212
106365, 68217
106360, 68216
106363, 68220
106353, 68214
106362, 68217
106352, 68215
106348, 68205
106352, 68213
106361, 68211
106358, 68219
106362, 68218
106368, 68221
106363, 68221
106363, 68226
106372, 68220
106373, 68225
106369, 68221
106368, 68217
106370, 68225
106367, 68230
106366, 68226
106375, 68228
106379, 68230
106382, 68230
106382, 68232
106382, 68233
106395, 68232
106395, 68245
106398, 68246
106406, 68250
106399, 68250
106406, 68247
106395, 68246
106381, 68232
106378, 68242
106380, 68244
106374, 68248
106369, 68243
106371, 68239
106374, 68237
106375, 68240
106372, 68239
106378, 68252
106379, 68249
106380, 68255
106396, 68248
106396, 68256
106396, 68257
106386, 68243
106389, 68244
106374, 68236
106380, 68233
106367, 68225
106372, 68231
106375, 68223
106374, 68226
106375, 68230
106371, 68241
106387, 68240
106375, 68245
106378, 68240
106377, 68242
106376, 68234
106366, 68231
106378, 68236
106361, 68232
106366, 68228
106365, 68227
106379, 68232
106385, 68232
106372, 68236
106370, 68244
106364, 68231
106373, 68221
106374, 68223
106350, 68216
106359, 68222
106356, 68217
106358, 68223
106366, 68226
106382, 68236
106410, 68253
106412, 68257
106403, 68257
106394, 68254
106391, 68253
106395, 68258
106396, 68266
106403, 68268
106401, 68264
106412, 68270
106428, 68272
106424, 68275
106420, 68278}
