red,ir,freq
106956, 121338,
106922, 121281,
106888, 121168,
106857, 121087,
106842, 121059,
106847, 121078,
106857, 121108,
106869, 121158,
106880, 121199,
106881, 121224,
106884, 121243,
106883, 121249,
106911, 121284,
106885, 121301,
106895, 121290,
106890, 121307,
106893, 121312,
106885, 121310,
106876, 121297,
106876, 121311,
106872, 121298,
106867, 121297,
106864, 121307,
106869, 121310,
106858, 121314,
106863, 121337,
106865, 121343,
106863, 121353,
106862, 121356,
106860, 121358,
106854, 121349,
106848, 121350,
106847, 121344,
106843, 121353,
106829, 121337,
106818, 121323,
106813, 121329,
106812, 121322,
106816, 121332,
106815, 121328,
106805, 121315,
106770, 121230,
106712, 121110,
106695, 121052,
106689, 121033,
106688, 121035,
106701, 121070,
106706, 121093,
106711, 121107,
106718, 121138,
106716, 121131,
106679, 121144,
106707, 121118,
106710, 121188,
106722, 121217,
106730, 121229,
106716, 121221,
106711, 121210,
106702, 121215,
106705, 121215,
106702, 121217,
106698, 121210,
106707, 121229,
106697, 121244,
106693, 121248,
106696, 121255,
106696, 121262,
106684, 121251,
106685, 121254,
106678, 121258,
106689, 121254,
106664, 121268,
106667, 121238,
106660, 121256,
106667, 121249,
106666, 121265,
106670, 121267,
106659, 121271,
106664, 121269,
106662, 121285,
106657, 121280,
106656, 121294,
106665, 121300,
106667, 121310,
106653, 121316,
106649, 121309,
106636, 121305,
106633, 121302,
106626, 121304,
106624, 121302,
106610, 121311,
106610, 121298,
106613, 121323,
106600, 121301,
106607, 121302,
106609, 121312,
106601, 121313,
106602, 121312,
106599, 121314,
106594, 121309,
106574, 121263,
106537, 121171,
106502, 121080,
106484, 121040,
106487, 121033,
106496, 121055,
106500, 121092,
106513, 121127,
106508, 121153,
106489, 121120,
106498, 121124,
106499, 121139,
106484, 121137,
106483, 121135,
106471, 121128,
106448, 121095,
106417, 121043,
106407, 121023,
106394, 120997,
106373, 120990,
106382, 120998,
106370, 121000,
106359, 121000,
106371, 121020,
106366, 121038,
106372, 121041,
106369, 121047,
106366, 121055,
106348, 121048,
106363, 121030,
106378, 121086,
106377, 121085,
106372, 121093,
106377, 121109,
106366, 121097,
106373, 121113,
106398, 121146,
106388, 121154,
106380, 121146,
106373, 121132,
106378, 121151,
106375, 121157,
106375, 121168,
106378, 121172,
106375, 121193,
106383, 121195,
106385, 121204,
106408, 121219,
106384, 121255,
106381, 121233,
106393, 121251,
106400, 121250,
106396, 121245,
106378, 121254,
106376, 121251,
106357, 121213,
106347, 121190,
106337, 121179,
106326, 121153,
106299, 121106,
106272, 121015,
106239, 120932,
106222, 120890,
106223, 120919,
106250, 120972,
106260, 120991,
106254, 121020,
106272, 121045,
106265, 121068,
106264, 121069,
106253, 121076,
106270, 121098,
106280, 121114,
106271, 121120,
106270, 121113,
106260, 121088,
106255, 121103,
106256, 121123,
106266, 121144,
106272, 121163,
106264, 121171,
106267, 121180,
106267, 121194,
106265, 121207,
106256, 121196,
106247, 121175,
106234, 121125,
106203, 121010,
106127, 120808,
105984, 120444,
105716,120106,
